Receive ID,Data Size,Phase Values (deg),Received Power (dBm),time of arrival (sec),doa_phi(),doa_theta(deg),dod_phi(deg),dod_theta(deg),rx_x,rx_y,rx_z
124,5,"[-61.0884, 173.082, 40.6254, -143.696, -15.5591]","[-99.6457, -106.964, -113.087, -117.271, -129.422]","[4.23954e-07, 4.78864e-07, 4.32276e-07, 4.86247e-07, 4.27352e-07]","[51.805, 40.33, 51.805, 40.33, 111.907]","[52.1282, 57.0776, 129.268, 124.243, 52.4816]","[-128.195, -138.911, -128.195, -138.911, -129.458]","[127.872, 122.922, 129.268, 124.243, 127.518]",128.728,79.8262,2
130,5,"[-87.9234, 63.9731, -128.21, -164.128, 20.6665]","[-128.798, -136.788, -140.196, -141.757, -143.873]","[3.87617e-07, 3.96702e-07, 3.91898e-07, 4.10303e-07, 3.93375e-07]","[106.507, 106.507, 81.4978, 133.387, 82.8385]","[47.8212, 133.607, 42.7336, 61.8939, 42.3778]","[-63.8993, -63.8993, -62.3894, -60.45, -60.973]","[132.179, 133.607, 130.766, 132.534, 130.127]",224.728,79.8262,2
131,5,"[-75.7774, -67.6922, -136.893, -147.042, 101.346]","[-115.875, -124.912, -128.383, -135.259, -137.392]","[4.41217e-07, 4.52698e-07, 4.41159e-07, 4.52693e-07, 4.60501e-07]","[46.0839, -3.09645, 44.8863, -3.22819, -3.09645]","[53.8517, 54.9062, 57.1143, 54.9057, 126.453]","[-47.8467, -52.5179, -48.0963, -52.5126, -52.5179]","[126.148, 125.094, 126.695, 125.094, 126.453]",240.728,79.8262,2
147,5,"[-90.1847, 148.262, 60.2589, 120.43, 56.6027]","[-98.988, -106.548, -122.165, -133.567, -146.232]","[3.93069e-07, 4.02031e-07, 4.05618e-07, 3.96738e-07, 4.7862e-07]","[45.3704, 45.3704, 136.276, 136.276, 95.345]","[48.5373, 132.888, 132.419, 49.0037, 57.0587]","[-134.63, -134.63, -135.556, -135.556, -171.167]","[131.463, 132.888, 132.419, 130.996, 122.941]",128.728,95.8262,2
153,5,"[-73.8292, -159.42, -127.13, 69.1213, 158.604]","[-98.0507, -100.763, -105.341, -109.419, -127.189]","[3.529e-07, 3.56499e-07, 3.62856e-07, 3.66356e-07, 3.53663e-07]","[118.409, 59.367, 118.409, 59.367, 131.773]","[42.4811, 43.1089, 138.942, 138.318, 42.6158]","[-61.5906, -59.367, -61.5906, -59.367, -63.8993]","[137.519, 136.891, 138.942, 138.318, 137.384]",224.728,95.8262,2
169,5,"[-43.9648, 163.869, 95.4622, 175.168, 67.1942]","[-99.1377, -102.358, -106.678, -112.261, -125.676]","[3.99896e-07, 4.14778e-07, 4.08708e-07, 4.2328e-07, 4.14928e-07]","[30.9713, -35.5944, 30.9713, -35.5944, -31.5721]","[49.3958, 51.1357, 132.025, 130.271, 47.9346]","[-149.029, -143.642, -149.029, -143.642, -143.18]","[130.604, 128.864, 132.025, 130.271, 128.468]",112.728,111.826,2
170,5,"[33.5561, -68.1038, 137.713, -27.3478, 138.916]","[-98.4004, -113.634, -137.923, -141.233, -144.054]","[3.67384e-07, 3.76957e-07, 4.39055e-07, 3.97856e-07, 4.35053e-07]","[37.0536, 37.0536, 102.32, 107.258, 97.6692]","[44.893, 136.539, 53.6453, 49.1435, 53.2564]","[-142.946, -142.946, -169.97, -155.015, -171.167]","[135.107, 136.539, 126.355, 130.856, 126.744]",128.728,111.826,2
171,5,"[-115.489, -18.8088, -79.3927, 133.572, 178.089]","[-97.7317, -104.187, -127.065, -128.953, -131.632]","[3.40184e-07, 3.50501e-07, 4.56561e-07, 3.77685e-07, 3.68547e-07]","[45.498, 45.498, 124.289, -53.8593, -58.1287]","[40.087, 141.318, 55.246, 136.422, 52.0971]","[-134.502, -134.502, -169.97, -126.141, -126.734]","[139.913, 141.318, 124.754, 136.422, 135.846]",144.728,111.826,2
172,5,"[62.2374, 2.81217, 46.7568, 67.2799, -155.072]","[-97.1906, -107.523, -115.129, -120.903, -134.546]","[3.19657e-07, 3.30615e-07, 3.59307e-07, 4.60418e-07, 4.68092e-07]","[57.3375, 57.3375, -64.5278, 155.709, 155.709]","[35.4919, 145.851, 139.596, 55.5784, 125.769]","[-122.663, -122.663, -115.472, -155.709, -155.709]","[144.508, 145.851, 139.596, 124.422, 125.769]",160.728,111.826,2
173,5,"[159.472, 159.997, 102.509, -94.9987, -94.3178]","[-96.8434, -102.236, -107.081, -107.474, -115.354]","[3.07142e-07, 3.18531e-07, 5.01794e-07, 3.35935e-07, 5.01795e-07]","[73.3342, 73.3342, 158.643, -77.7764, 158.504]","[32.0728, 149.202, 58.7571, 39.2181, 58.7572]","[-106.666, -106.666, -158.643, -102.791, -158.753]","[147.927, 149.202, 121.243, 140.782, 121.243]",176.728,111.826,2
174,5,"[-134.423, 113.457, -104.38, -28.1196, 154.446]","[-96.7435, -102.462, -113.741, -123.659, -124.03]","[3.03632e-07, 3.15147e-07, 3.34491e-07, 3.44978e-07, 3.79134e-07]","[92.4243, 92.4243, -91.7368, -91.7368, -36.0733]","[30.9997, 150.25, 38.9139, 142.479, 46.6487]","[-87.5757, -87.5757, -88.186, -88.186, -68.8716]","[149.0, 150.25, 141.086, 142.479, 133.351]",192.728,111.826,2
175,5,"[73.7667, -111.88, -103.897, 74.8988, 95.5747]","[-96.908, -102.441, -114.811, -115.015, -126.402]","[3.09433e-07, 3.2074e-07, 3.40434e-07, 3.50742e-07, 3.5684e-07]","[111.009, 111.009, -105.597, -105.708, -131.484]","[32.7435, 148.546, 40.4723, 141.269, 43.1674]","[-68.9913, -68.9913, -74.0914, -74.108, -81.9058]","[147.256, 148.546, 139.913, 141.269, 136.833]",208.728,111.826,2
176,5,"[62.1272, -166.731, -59.7557, 104.616, 150.532]","[-97.3091, -111.569, -120.249, -126.189, -130.77]","[3.24046e-07, 3.3486e-07, 4.76922e-07, 4.7698e-07, 4.84335e-07]","[125.97, 125.97, -14.5805, -15.6205, -14.5805]","[36.5661, 144.795, 56.9264, 56.9309, 124.397]","[-54.0302, -54.0302, -39.7828, -40.1815, -39.7828]","[143.434, 144.795, 123.074, 123.069, 124.397]",224.728,111.826,2
177,5,"[-153.764, 34.3509, 147.095, -169.467, -30.1418]","[-97.888, -104.127, -106.839, -109.198, -119.897]","[3.46357e-07, 3.56495e-07, 4.34843e-07, 3.71896e-07, 3.719e-07]","[136.868, 136.868, -41.2364, -125.526, -124.552]","[41.2853, 140.13, 53.2357, 45.5866, 45.5871]","[-43.1317, -43.1317, -42.738, -50.6553, -50.5284]","[138.715, 140.13, 126.764, 134.413, 134.413]",240.728,111.826,2
178,5,"[33.7415, 42.2618, 112.184, 33.0432, -73.1796]","[-98.5787, -111.555, -132.205, -133.12, -135.138]","[3.74995e-07, 3.84378e-07, 4.5492e-07, 4.0196e-07, 4.97217e-07]","[144.638, 144.638, -144.967, -121.223, 45.6221]","[46.0486, 135.384, 55.1025, 49.6476, 58.4366]","[-35.3615, -35.3615, -45.1086, -42.0785, -39.7828]","[133.951, 135.384, 124.897, 130.352, 121.563]",256.728,111.826,2
193,5,"[39.5069, -178.138, 132.001, 122.646, 178.814]","[-97.9304, -104.313, -104.806, -120.767, -124.851]","[3.48049e-07, 3.5814e-07, 3.67896e-07, 3.77456e-07, 3.98993e-07]","[26.4287, 26.4287, 156.699, 156.699, 112.149]","[41.6016, 139.816, 44.9731, 136.459, 49.2846]","[-153.571, -153.571, -156.699, -156.699, -169.97]","[138.398, 139.816, 135.027, 136.459, 130.715]",128.728,127.826,2
194,5,"[98.51, -57.6157, -65.5774, -120.026, 145.244]","[-97.1784, -107.104, -125.61, -127.179, -128.691]","[3.19207e-07, 3.3018e-07, 4.26698e-07, 4.94792e-07, 4.18525e-07]","[33.8159, 33.8159, 161.43, 16.2891, 165.927]","[35.3784, 145.963, 129.883, 58.2639, 51.5479]","[-146.184, -146.184, -161.781, -166.268, -160.303]","[144.622, 145.963, 129.883, 121.736, 128.452]",144.728,127.826,2
195,5,"[-152.998, 113.457, -48.148, 26.3949, -98.9452]","[-107.333, -111.942, -115.125, -120.541, -124.429]","[4.59279e-07, 2.97255e-07, 3.81473e-07, 4.66972e-07, 3.90701e-07]","[164.005, 43.5135, -68.9442, 164.005, -68.9442]","[55.481, 27.6859, 46.9794, 125.868, 134.452]","[-164.356, -133.863, -111.043, -164.356, -111.043]","[124.519, 150.905, 133.021, 125.868, 134.452]",160.728,127.826,2
196,5,"[-63.7056, -130.33, -44.0609, 97.4415, 93.3391]","[-96.1543, -102.049, -108.556, -110.772, -114.257]","[2.83732e-07, 2.96023e-07, 3.71306e-07, 4.36697e-07, 5.02623e-07]","[65.5462, 65.5462, -80.2227, -39.2698, 166.263]","[23.4671, 157.562, 45.4973, 53.4172, 58.8144]","[-114.454, -114.454, -100.345, -69.7801, -166.268]","[156.533, 157.562, 134.503, 126.583, 121.186]",176.728,127.826,2
197,5,"[103.626, 67.1632, -57.3601, 36.0409, -36.9815]","[-96.037, -100.956, -122.916, -130.854, -136.058]","[2.79928e-07, 2.92379e-07, 3.70357e-07, 4.0771e-07, 3.79855e-07]","[93.6798, 93.6798, -90.5818, -55.7362, -90.5818]","[21.6037, 159.359, 45.3529, 50.3306, 136.08]","[-86.3202, -86.3202, -88.186, -70.5801, -88.186]","[158.396, 159.359, 134.647, 129.669, 136.08]",192.728,127.826,2
198,5,"[75.9171, -41.9756, 3.70252, -123.311, -62.1926]","[-96.2299, -103.631, -113.078, -114.733, -117.952]","[2.86211e-07, 2.98399e-07, 2.86244e-07, 3.89314e-07, 3.9836e-07]","[120.258, 120.258, 112.755, -101.961, -101.961]","[24.585, 156.481, 24.5995, 48.0471, 133.381]","[-59.7416, -59.7416, -59.1554, -78.0394, -78.0394]","[155.415, 156.481, 155.4, 131.953, 133.381]",208.728,127.826,2
199,5,"[-94.331, -151.207, -47.4311, 15.0474, 51.9778]","[-105.428, -106.927, -111.887, -113.362, -114.286]","[3.87261e-07, 4.9727e-07, 5.07008e-07, 3.96354e-07, 3.98758e-07]","[-113.292, -41.9066, 44.2433, -113.292, 112.735]","[47.7735, 58.4404, 59.1139, 133.655, 49.2555]","[-66.7084, -42.0678, -40.4429, -66.7084, -67.9767]","[132.227, 121.56, 120.886, 133.655, 130.744]",224.728,127.826,2
200,5,"[3.09112, 118.49, -37.6581, 162.92, -82.773]","[-97.3555, -111.6, -125.162, -126.311, -131.137]","[3.25777e-07, 3.36536e-07, 4.29816e-07, 3.36662e-07, 3.27089e-07]","[148.337, 148.337, 17.3356, 150.983, 155.792]","[36.9746, 144.392, 53.4262, 140.963, 50.0731]","[-31.6625, -31.6625, -17.5526, -32.159, -32.9885]","[143.025, 144.392, 127.489, 144.972, 144.723]",240.728,127.826,2
201,5,"[-119.851, 32.1659, 134.857, 58.0342, -148.247]","[-98.1286, -106.474, -107.032, -113.76, -128.142]","[3.56074e-07, 3.65943e-07, 3.90835e-07, 3.99847e-07, 4.91123e-07]","[154.96, 154.96, 20.6558, 20.6558, -41.3793]","[43.0358, 138.39, 48.2471, 133.18, 57.9988]","[-25.0403, -25.0403, -20.6558, -20.6558, -39.3332]","[136.964, 138.39, 131.753, 133.18, 122.001]",256.728,127.826,2
216,5,"[14.5733, 46.798, 121.579, 33.3472, -124.565]","[-97.6283, -105.0, -106.123, -114.809, -143.229]","[3.36164e-07, 3.46601e-07, 3.56673e-07, 3.66526e-07, 3.58457e-07]","[13.4436, 13.4436, 168.298, 168.298, 162.087]","[39.2659, 142.131, 43.1388, 138.288, 26.6573]","[-166.556, -166.556, -168.298, -168.298, -168.755]","[140.734, 142.131, 136.861, 138.288, 134.957]",128.728,143.826,2
217,5,"[114.673, -105.438, -119.96, -179.89, 100.808]","[-96.8168, -102.229, -111.387, -130.099, -133.281]","[3.06205e-07, 3.17627e-07, 4.71741e-07, 6.0432e-07, 4.71841e-07]","[17.8564, 17.8564, 7.22249, 108.458, 8.84636]","[31.7918, 149.477, 56.5156, 64.4898, 56.5236]","[-162.144, -162.144, -172.778, 141.314, -174.0]","[148.208, 149.477, 123.484, 115.51, 123.476]",144.728,143.826,2
