Receive ID,rx_x,rx_y,rx_z
1,0.727801,-0.173815,2
2,16.7278,-0.173815,2
3,32.7278,-0.173815,2
4,48.7278,-0.173815,2
5,64.7278,-0.173815,2
6,80.7278,-0.173815,2
7,96.7278,-0.173815,2
8,112.728,-0.173815,2
9,128.728,-0.173815,2
10,144.728,-0.173815,2
11,160.728,-0.173815,2
12,176.728,-0.173815,2
13,192.728,-0.173815,2
14,208.728,-0.173815,2
15,224.728,-0.173815,2
16,240.728,-0.173815,2
17,256.728,-0.173815,2
18,272.728,-0.173815,2
19,288.728,-0.173815,2
20,304.728,-0.173815,2
21,320.728,-0.173815,2
22,336.728,-0.173815,2
23,352.728,-0.173815,2
24,0.727801,15.8262,2
25,16.7278,15.8262,2
26,32.7278,15.8262,2
27,48.7278,15.8262,2
28,64.7278,15.8262,2
29,80.7278,15.8262,2
30,96.7278,15.8262,2
31,112.728,15.8262,2
32,128.728,15.8262,2
33,144.728,15.8262,2
34,160.728,15.8262,2
35,176.728,15.8262,2
36,192.728,15.8262,2
37,208.728,15.8262,2
38,224.728,15.8262,2
39,240.728,15.8262,2
40,256.728,15.8262,2
41,272.728,15.8262,2
42,288.728,15.8262,2
43,304.728,15.8262,2
44,320.728,15.8262,2
45,336.728,15.8262,2
46,352.728,15.8262,2
47,0.727801,31.8262,2
48,16.7278,31.8262,2
49,32.7278,31.8262,2
50,48.7278,31.8262,2
51,64.7278,31.8262,2
52,80.7278,31.8262,2
53,96.7278,31.8262,2
54,112.728,31.8262,2
55,128.728,31.8262,2
56,144.728,31.8262,2
57,160.728,31.8262,2
58,176.728,31.8262,2
59,192.728,31.8262,2
60,208.728,31.8262,2
61,224.728,31.8262,2
62,240.728,31.8262,2
63,256.728,31.8262,2
64,272.728,31.8262,2
65,288.728,31.8262,2
66,304.728,31.8262,2
67,320.728,31.8262,2
68,336.728,31.8262,2
69,352.728,31.8262,2
70,0.727801,47.8262,2
71,16.7278,47.8262,2
72,32.7278,47.8262,2
73,48.7278,47.8262,2
74,64.7278,47.8262,2
75,80.7278,47.8262,2
76,96.7278,47.8262,2
77,112.728,47.8262,2
78,128.728,47.8262,2
79,144.728,47.8262,2
80,160.728,47.8262,2
81,176.728,47.8262,2
82,192.728,47.8262,2
